Link ID; Channel ID; Line; Data 
  1; 15;  1;0x3c000008020f1c177233ff33L
  1; 15;  2;0x3c000008020f1ca9e122ff32L
  1; 15;  3;0x3c000008020f1c89f227ff31L
  1; 15;  4;0x3c000008020f1c370a33ff2fL
  1; 15;  5;0x3c000008020f00171a36ff30L
  1; 15;  6;0x3c000008020f00b7dd3dff2eL
  1; 15;  7;0x3c000008020f0097ae2affe2L
  1; 15;  8;0x3c000008020f0037da31fffcL
  1; 15;  9;0x3c000008020f011776f8ffe4L
  1; 15; 10;0x3c000008020f01a92af3fffaL
  1; 15; 11;0x3c000008020f019792f5fff9L
  1; 15; 12;0x3c000008020f01299d20ff27L
  1; 15; 13;0x3c000008020f02176128ff28L
  1; 15; 14;0x3c000008020f02a96a25ff36L
  1; 15; 15;0x3c000008020f0297b6f5ff35L
  1; 15; 16;0x3c000008020fc7177a35ffe3L
  1; 15; 17;0x3c000008020fc7a9325dfffdL
  1; 15; 18;0x3c000008020fc789ea22fffeL
  1; 15; 19;0x3c000008020fc729fd33ffffL
  1; 15; 20;0x3c000008020fc4171236ff20L
  1; 15; 21;0x3c000008020fc4b7ae26ff21L
  1; 15; 22;0x3c000008020fc4977a38ff2dL
  1; 15; 23;0x3c000008020fc437a131ff2cL
  1; 15; 24;0x3c000008020fda177df7ff2bL
  1; 15; 25;0x3c000008020fdaa9fdf3ff2aL
  1; 15; 26;0x3c000008020fda9796f5ff29L
  1; 15; 27;0x3c000008020fda29865efff7L
  1; 15; 28;0x3c000008020fd917aa28fff8L
  1; 15; 29;0x3c000008020fd9a9ae38ffe6L
  1; 15; 30;0x3c000008020fd997c6e8ffe5L
  1; 15; 31;0x3c000008020fd717aa35fff3L
  1; 15; 32;0x3c000008020fd7a93221fff2L
  1; 15; 33;0x3c000008020fd789f236fff1L
  1; 15; 34;0x3c000008020fd729ee35ffefL
  1; 15; 35;0x3c000008020fcb17125ffff0L
  1; 15; 36;0x3c000008020fcbb7d237ffeeL
  1; 15; 37;0x3c000008020fcb97b638ff22L
  1; 15; 38;0x3c000008020fcb37b62dff3cL
  1; 15; 39;0x3c000008020fca1781eaff24L
  1; 15; 40;0x3c000008020fcaa9eef4ff3aL
  1; 15; 41;0x3c000008020fca9792f6ff39L
  1; 15; 42;0x3c000008020fca298e45ffe7L
  1; 15; 43;0x3c000008020fc917aa28ffe8L
  1; 15; 44;0x3c000008020fc9a96137fff6L
  1; 15; 45;0x3c000008020fc997caf4fff5L
  1; 15; 46;0x3c000008020fdf177233ff33L
  1; 15; 47;0x3c000008020fdfa9f63cff32L
  1; 15; 48;0x3c000008020fdf89f236ff31L
  1; 15; 49;0x3c000008020fdf371233ff2fL
  1; 15; 50;0x3c000008020fc3171627ff30L
  1; 15; 51;0x3c000008020fc3b7dd23ff2eL
  1; 15; 52;0x3c000008020fc397b62cffe2L
  1; 15; 53;0x3c000008020fc337d632fffcL
  1; 15; 54;0x3c000008020fdd1772f8ffe4L
  1; 15; 55;0x3c000008020fdda93df5fffaL
  1; 15; 56;0x3c000008020fdd9792f5fff9L
  1; 15; 57;0x3c000008020fdd295a20ff27L
  1; 15; 58;0x3c000008020fde176139ff28L
  1; 15; 59;0x3c000008020fdea96625ff36L
  1; 15; 60;0x3c000008020fde97b6f5ff35L
  1; 15; 61;0x3c000008020fdc177633ffe3L
  1; 15; 62;0x3c000008020fdca92e5efffdL
  1; 15; 63;0x3c000008020fdc89e63afffeL
  1; 15; 64;0x3c000008020fdc371632ffffL
  1; 15; 65;0x3c000008020fc0170a34ff20L
  1; 15; 66;0x3c000008020fc0b7a625ff21L
  1; 15; 67;0x3c000008020fc0977a38ff2dL
  1; 15; 68;0x3c000008020fc037a12eff2cL
  1; 15; 69;0x3c000008020fc11781f7ff2bL
  1; 15; 70;0x3c000008020fc1a9fdf2ff2aL
  1; 15; 71;0x3c000008020fc19792f4ff29L
  1; 15; 72;0x3c000008020fc1294120fff7L
  1; 15; 73;0x3c000008020fc217a636fff8L
  1; 15; 74;0x3c000008020fc2a9ae25ffe6L
  1; 15; 75;0x3c000008020fc297ddf6ffe5L
