Link ID; Channel ID; Line; Data 
 1;15; 1;0x3c000008020f0717a633fff3L
 1;15; 2;0x3c000008020f07a92e3cfff2L
 1;15; 3;0x3c000008020f0789ea35fff1L
 1;15; 4;0x3c000008020f0729ee33ffefL
 1;15; 5;0x3c000008020f04171227ff30L
 1;15; 6;0x3c000008020f04b7c623ff2eL
 1;15; 7;0x3c000008020f0497a12affe2L
 1;15; 8;0x3c000008020f0437da2ffffcL
 1;15; 9;0x3c000008020f1a176ee6ffe4L
 1;15;10;0x3c000008020f1aa926f5fffaL
 1;15;11;0x3c000008020f1a979af5fff9L
 1;15;12;0x3c000008020f1a298643ffe7L
 1;15;13;0x3c000008020f1917aa35ffe8L
 1;15;14;0x3c000008020f19a97a38fff6L
 1;15;15;0x3c000008020f1997a1f3fff5L
 1;15;16;0x3c000008020fd4177636ff23L
 1;15;17;0x3c000008020fd4a9323aff3dL
 1;15;18;0x3c000008020fd489e13cff3eL
 1;15;19;0x3c000008020fd429ee2dff3fL
 1;15;20;0x3c000008020fc8170a35ff20L
 1;15;21;0x3c000008020fc8b7b625ff21L
 1;15;22;0x3c000008020fc897bd37ff2dL
 1;15;23;0x3c000008020fc837c631ff2cL
 1;15;24;0x3c000008020fd6176af7ff2bL
 1;15;25;0x3c000008020fd6b701f3ff2aL
 1;15;26;0x3c000008020fd69796f5ff29L
 1;15;27;0x3c000008020fd629565bff37L
 1;15;28;0x3c000008020fd517613aff38L
 1;15;29;0x3c000008020fd5a98123ff26L
 1;15;30;0x3c000008020fd597c6f3ff25L
 1;15;31;0x3c000008020fdb177633ff33L
 1;15;32;0x3c000008020fdba93d22ff32L
 1;15;33;0x3c000008020fdb89fa39ff31L
 1;15;34;0x3c000008020fdb371233ff2fL
 1;15;35;0x3c000008020fd8170e21fff0L
 1;15;36;0x3c000008020fd8b7d638ffeeL
 1;15;37;0x3c000008020fd897a137ff22L
 1;15;38;0x3c000008020fd837b62dff3cL
 1;15;39;0x3c000008020fc61781eaff24L
 1;15;40;0x3c000008020fc6a9f2f5ff3aL
 1;15;41;0x3c000008020fc69792f6ff39L
 1;15;42;0x3c000008020fc6299d5fff27L
 1;15;43;0x3c000008020fc517bd39ff28L
 1;15;44;0x3c000008020fc5a97626ff36L
 1;15;45;0x3c000008020fc597b6e8ff35L
 1;15;46;0x3c000008020f1c17aa35fff3L
 1;15;47;0x3c000008020f1ca92a24fff2L
