Link ID; Channel ID; Line; Data 
  1; 15;  1;0x3c000008020f1f09e64efff3L
  1; 15;  2;0x3c000008020f1fa9aa47fff2L
  1; 15;  3;0x3c000008020f1f897256fff1L
  1; 15;  4;0x3c000008020f1f297656ffefL
  1; 15;  5;0x3c000008020f0817ca30ff30L
  1; 15;  6;0x3c000008020f08b7a6e0ff2eL
  1; 15;  7;0x3c000008020f0397b22affe2L
  1; 15;  8;0x3c000008020f0337d633fffcL
  1; 15;  9;0x3c000008020f1d17bdeaffe4L
  1; 15; 10;0x3c000008020f1da93af9fffaL
  1; 15; 11;0x3c000008020f1d977ae1fff9L
  1; 15; 12;0x3c000008020f1d29aa51ffe7L
  1; 15; 13;0x3c000008020f1e170e57ffe8L
  1; 15; 14;0x3c000008020f1ea91a39fff6L
  1; 15; 15;0x3c000008020f1e893d38fff5L
  1; 15; 16;0x3c000008020fcf176a33ff23L
  1; 15; 17;0x3c000008020fcfa9f636ff3dL
  1; 15; 18;0x3c000008020fcf89ea27ff3eL
  1; 15; 19;0x3c000008020fcf371629ff3fL
  1; 15; 20;0x3c000008020fd317da32ff20L
  1; 15; 21;0x3c000008020fd3b7a63eff21L
  1; 15; 22;0x3c000008020fd397763bff2dL
  1; 15; 23;0x3c000008020fd337ae2bff2cL
  1; 15; 24;0x3c000008020fd2178ee5ff2bL
  1; 15; 25;0x3c000008020fd2b712f2ff2aL
  1; 15; 26;0x3c000008020fd2978af3ff29L
  1; 15; 27;0x3c000008020fd2295d22ff37L
  1; 15; 28;0x3c000008020fd1177234ff38L
  1; 15; 29;0x3c000008020fd1a9923dff26L
  1; 15; 30;0x3c000008020fd197a1f2ff25L
  1; 15; 31;0x3c000008020fdf176e31ff33L
  1; 15; 32;0x3c000008020fdfa9f23cff32L
  1; 15; 33;0x3c000008020fdf89f228ff31L
  1; 15; 34;0x3c000008020fdf37c130ff2fL
  1; 15; 35;0x3c000008020fc3170a24fff0L
  1; 15; 36;0x3c000008020fc3b7ce25ffeeL
  1; 15; 37;0x3c000008020fc397b626ff22L
  1; 15; 38;0x3c000008020fc337ae2cff3cL
  1; 15; 39;0x3c000008020fdd1792e9ff24L
  1; 15; 40;0x3c000008020fdda9eaf3ff3aL
  1; 15; 41;0x3c000008020fdd9792f4ff39L
  1; 15; 42;0x3c000008020fdd295221ff27L
  1; 15; 43;0x3c000008020fde17bd3aff28L
  1; 15; 44;0x3c000008020fdea97226ff36L
  1; 15; 45;0x3c000008020fde97b6f6ff35L
  1; 15; 46;0x3c000008020f07177a31fff3L
  1; 15; 47;0x3c000008020f07a9e128fff2L
  1; 15; 48;0x3c000008020f0789fd32fff1L
  1; 15; 49;0x3c000008020f07370e2dffefL
  1; 15; 50;0x3c000008020f04171d33ff30L
  1; 15; 51;0x3c000008020f04b7b63fff2eL
  1; 15; 52;0x3c000008020f0497a638ffe2L
