Link ID; Channel ID; Line; Data 
  1; 15;  1;0x3c000008020f1f176139ff23L
  1; 15;  2;0x3c000008020f1fa9363aff3dL
  1; 15;  3;0x3c000008020f1f893d22ff3eL
  1; 15;  4;0x3c000008020f1f29ee30ff3fL
  1; 15;  5;0x3c000008020f0809ee5bfff0L
  1; 15;  6;0x3c000008020f08b7122dffeeL
  1; 15;  7;0x3c000008020f0897d22dff22L
  1; 15;  8;0x3c000008020f0837c135ff3cL
  1; 15;  9;0x3c000008020f16177aeeff24L
  1; 15; 10;0x3c000008020f16a92ef9ff3aL
  1; 15; 11;0x3c000008020f169772fcff39L
  1; 15; 12;0x3c000008020f1d298645ff37L
  1; 15; 13;0x3c000008020f1e17a639ff38L
  1; 15; 14;0x3c000008020f1ea96e3bff26L
  1; 15; 15;0x3c000008020f1e97c6f4ff25L
  1; 15; 16;0x3c000008020fcf177232ff33L
  1; 15; 17;0x3c000008020fcfa9f63cff32L
  1; 15; 18;0x3c000008020fcf89fd28ff31L
  1; 15; 19;0x3c000008020fcf370a33ff2fL
  1; 15; 20;0x3c000008020fd317c136ffe0L
  1; 15; 21;0x3c000008020fd3b7c637ffe1L
  1; 15; 22;0x3c000008020fd397a62bffedL
  1; 15; 23;0x3c000008020fd337c131ffecL
  1; 15; 24;0x3c000008020fd2176ef7ffebL
  1; 15; 25;0x3c000008020fd2a9e1f4ffeaL
  1; 15; 26;0x3c000008020fd2979ae7ffe9L
  1; 15; 27;0x3c000008020fd2295620ff27L
  1; 15; 28;0x3c000008020fd1177a27ff28L
  1; 15; 29;0x3c000008020fd1a96a25ff36L
  1; 15; 30;0x3c000008020fd197aef5ff35L
  1; 15; 31;0x3c000008020fdf177632ffe3L
  1; 15; 32;0x3c000008020fdfa92e21fffdL
  1; 15; 33;0x3c000008020fdf89fd3afffeL
  1; 15; 34;0x3c000008020fdf371632ffffL
  1; 15; 35;0x3c000008020fc3170e35ff30L
  1; 15; 36;0x3c000008020fc3b7ba3dff2eL
  1; 15; 37;0x3c000008020fc397ae37ffe2L
  1; 15; 38;0x3c000008020fc337ce30fffcL
  1; 15; 39;0x3c000008020fdd1772e6ffe4L
  1; 15; 40;0x3c000008020fdda9f6f3fffaL
  1; 15; 41;0x3c000008020fdd9792f5fff9L
  1; 15; 42;0x3c000008020fdd29415ffff7L
  1; 15; 43;0x3c000008020fde17a636fff8L
  1; 15; 44;0x3c000008020fdea9aa3bffe6L
  1; 15; 45;0x3c000008020fde97bae8ffe5L
  1; 15; 46;0x3c000008020f07177a36ff23L
  1; 15; 47;0x3c000008020f07a93224ff3dL
  1; 15; 48;0x3c000008020f0789263aff3eL
  1; 15; 49;0x3c000008020f0729ee2cff3fL
  1; 15; 50;0x3c000008020f04170e3cfff0L
  1; 15; 51;0x3c000008020f04b7d226ffeeL
