Link ID; Channel ID; Line; Data 
  1; 15;  1;0x3c000008020f1f09e151fff3L
  1; 15;  2;0x3c000008020f1fa9b69ffff2L
  1; 15;  3;0x3c000008020f1f89ae44fff1L
  1; 15;  4;0x3c000008020f1f29ae44ffefL
  1; 15;  5;0x3c000008020f0817da32ff30L
  1; 15;  6;0x3c000008020f08b7b23dff2eL
  1; 15;  7;0x3c000008020f0397dd2dffe2L
  1; 15;  8;0x3c000008020f03370e27fffcL
  1; 15;  9;0x3c000008020f1d17baecffe4L
  1; 15; 10;0x3c000008020f1da95afcfffaL
  1; 15; 11;0x3c000008020f1d97ae3dfff9L
  1; 15; 12;0x3c000008020f1d29ca59ffe7L
  1; 15; 13;0x3c000008020f1e09fd4fffe8L
  1; 15; 14;0x3c000008020f1ea90124fff6L
  1; 15; 15;0x3c000008020f1e893637fff5L
  1; 15; 16;0x3c000008020fcf177a28ff23L
  1; 15; 17;0x3c000008020fcfa92a39ff3dL
  1; 15; 18;0x3c000008020fcf89e13cff3eL
  1; 15; 19;0x3c000008020fcf29ea2bff3fL
  1; 15; 20;0x3c000008020fd3170e28ff20L
  1; 15; 21;0x3c000008020fd3b7ae26ff21L
  1; 15; 22;0x3c000008020fd397bd38ff2dL
  1; 15; 23;0x3c000008020fd337ba2eff2cL
  1; 15; 24;0x3c000008020fd21781f8ff2bL
  1; 15; 25;0x3c000008020fd2b71af3ff2aL
  1; 15; 26;0x3c000008020fd29796f5ff29L
  1; 15; 27;0x3c000008020fd2294143ff37L
  1; 15; 28;0x3c000008020fd117bd39ff38L
  1; 15; 29;0x3c000008020fd1a99a3bff26L
  1; 15; 30;0x3c000008020fd197caf4ff25L
  1; 15; 31;0x3c000008020fdf177631ff33L
  1; 15; 32;0x3c000008020fdfa9e13cff32L
  1; 15; 33;0x3c000008020fdf89ee39ff31L
  1; 15; 34;0x3c000008020fdf370a31ff2fL
  1; 15; 35;0x3c000008020fc3170a20fff0L
  1; 15; 36;0x3c000008020fc3b7d225ffeeL
  1; 15; 37;0x3c000008020fc397b226ff22L
  1; 15; 38;0x3c000008020fc337b62dff3cL
  1; 15; 39;0x3c000008020fdd178ef7ff24L
  1; 15; 40;0x3c000008020fdda9eaf4ff3aL
  1; 15; 41;0x3c000008020fdd978ef5ff39L
  1; 15; 42;0x3c000008020fdd299d20ff27L
  1; 15; 43;0x3c000008020fde176139ff28L
  1; 15; 44;0x3c000008020fdea96e26ff36L
  1; 15; 45;0x3c000008020fde97baf5ff35L
  1; 15; 46;0x3c000008020f0717ae35fff3L
  1; 15; 47;0x3c000008020f07a93a22fff2L
  1; 15; 48;0x3c000008020f0789f227fff1L
  1; 15; 49;0x3c000008020f0729ee35ffefL
  1; 15; 50;0x3c000008020f04171a39ff30L
  1; 15; 51;0x3c000008020f04b7d23bff2eL
  1; 15; 52;0x3c000008020f0497ba2bffe2L
  1; 15; 53;0x3c000008020f04371d33fffcL
  1; 15; 54;0x3c000008020f1a177af7ffe4L
