Link ID; Channel ID; Line; Data 
  1; 15;  1;0x3c000008020fdf177634ff33L
  1; 15;  2;0x3c000008020fdfa9e122ff32L
  1; 15;  3;0x3c000008020fdf89f627ff31L
  1; 15;  4;0x3c000008020fdf371234ff2fL
  1; 15;  5;0x3c000008020fc3171639ff30L
  1; 15;  6;0x3c000008020fc3b7c63bff2eL
  1; 15;  7;0x3c000008020fc397b62bffe2L
  1; 15;  8;0x3c000008020fc337da31fffcL
  1; 15;  9;0x3c000008020fdd1776e6ffe4L
  1; 15; 10;0x3c000008020fdda93df5fffaL
  1; 15; 11;0x3c000008020fdd979af6fff9L
  1; 15; 12;0x3c000008020fdd299d20ff27L
  1; 15; 13;0x3c000008020fde17a63aff28L
  1; 15; 14;0x3c000008020fdea97226ff36L
  1; 15; 15;0x3c000008020fde97b2f5ff35L
  1; 15; 16;0x3c000008020fdc177633ffe3L
  1; 15; 17;0x3c000008020fdca92e21fffdL
  1; 15; 18;0x3c000008020fdc89e624fffeL
  1; 15; 19;0x3c000008020fdc371233ffffL
  1; 15; 20;0x3c000008020fc0170a35ff20L
  1; 15; 21;0x3c000008020fc0b7aa26ff21L
  1; 15; 22;0x3c000008020fc0977a38ff2dL
  1; 15; 23;0x3c000008020fc037a12eff2cL
  1; 15; 24;0x3c000008020fc11781f8ff2bL
  1; 15; 25;0x3c000008020fc1a9e6f2ff2aL
  1; 15; 26;0x3c000008020fc19792f5ff29L
  1; 15; 27;0x3c000008020fc129865ffff7L
  1; 15; 28;0x3c000008020fc217a635fff8L
  1; 15; 29;0x3c000008020fc2a9aa25ffe6L
  1; 15; 30;0x3c000008020fc297a1f6ffe5L
  1; 15; 31;0x3c000008020fcc17aa33fff3L
  1; 15; 32;0x3c000008020fcca9323cfff2L
  1; 15; 33;0x3c000008020fcc89f636fff1L
  1; 15; 34;0x3c000008020fcc29ee33ffefL
  1; 15; 35;0x3c000008020fd017125efff0L
  1; 15; 36;0x3c000008020fd0b7d237ffeeL
  1; 15; 37;0x3c000008020fd097b638ff22L
  1; 15; 38;0x3c000008020fd037a12dff3cL
  1; 15; 39;0x3c000008020fce179af7ff24L
  1; 15; 40;0x3c000008020fcea9eaf5ff3aL
  1; 15; 41;0x3c000008020fce9796f6ff39L
