Link ID; Channel ID; Line; Data 
  1; 15;  1;0x3c000008020fdf17bd34fff3L
  1; 15;  2;0x3c000008020fdfa92a3cfff2L
  1; 15;  3;0x3c000008020fdf89f234fff1L
  1; 15;  4;0x3c000008020fdf371a33ffefL
  1; 15;  5;0x3c000008020fc3171d20fff0L
  1; 15;  6;0x3c000008020fc3b7ca25ffeeL
  1; 15;  7;0x3c000008020fc397ae26ff22L
  1; 15;  8;0x3c000008020fc337ba2cff3cL
  1; 15;  9;0x3c000008020fdd1796f7ff24L
  1; 15; 10;0x3c000008020fdda9eaf4ff3aL
  1; 15; 11;0x3c000008020fdd978ef5ff39L
  1; 15; 12;0x3c000008020fdd299d43ffe7L
  1; 15; 13;0x3c000008020fde17aa36ffe8L
  1; 15; 14;0x3c000008020fdea97a38fff6L
  1; 15; 15;0x3c000008020fde97ddf4fff5L
  1; 15; 16;0x3c000008020f07177632ff33L
  1; 15; 17;0x3c000008020f07a9e122ff32L
  1; 15; 18;0x3c000008020f0789f227ff31L
  1; 15; 19;0x3c000008020f07370a32ff2fL
  1; 15; 20;0x3c000008020f04171639ff30L
  1; 15; 21;0x3c000008020f04b7ba3bff2eL
  1; 15; 22;0x3c000008020f0497ae29ffe2L
  1; 15; 23;0x3c000008020f0437d231fffcL
  1; 15; 24;0x3c000008020f1a1772f8ffe4L
  1; 15; 25;0x3c000008020f1aa9e1f4fffaL
  1; 15; 26;0x3c000008020f1a978ef5fff9L
  1; 15; 27;0x3c000008020f1a295a21ff27L
  1; 15; 28;0x3c000008020f19177a24ff28L
  1; 15; 29;0x3c000008020f19a96625ff36L
  1; 15; 30;0x3c000008020f1997aef5ff35L
  1; 15; 31;0x3c000008020fd417bd36ffe3L
  1; 15; 32;0x3c000008020fd4a9365ffffdL
  1; 15; 33;0x3c000008020fd489ee21fffeL
  1; 15; 34;0x3c000008020fd429fd35ffffL
  1; 15; 35;0x3c000008020fc8171228ff20L
  1; 15; 36;0x3c000008020fc8b7b238ff21L
  1; 15; 37;0x3c000008020fc897a637ff2dL
  1; 15; 38;0x3c000008020fc837c632ff2cL
  1; 15; 39;0x3c000008020fd6176ae9ff2bL
  1; 15; 40;0x3c000008020fd6a9e6f5ff2aL
  1; 15; 41;0x3c000008020fd69781f5ff29L
  1; 15; 42;0x3c000008020fd6298a5dfff7L
  1; 15; 43;0x3c000008020fd517b227fff8L
  1; 15; 44;0x3c000008020fd5a9b237ffe6L
